season,player,season_runs_conceded,season_balls,season_economy,streak_runs_conceded,streak_balls,streak_economy,economy_delta
2015,AD Mathews,246,180,8.2,210,150,8.4,0.20000000000000107
2015,AD Russell,324,244,7.967213114754099,324,244,7.967213114754099,0.0
2015,AN Ahmed,128,72,10.666666666666666,128,72,10.666666666666666,0.0
2015,AR Patel,392,280,8.4,179,131,8.198473282442748,-0.20152671755725216
2015,Ankit Sharma,114,84,8.142857142857142,86,66,7.818181818181818,-0.324675324675324
2015,Anureet Singh,465,310,9.0,215,144,8.958333333333334,-0.041666666666666075
2015,B Kumar,407,310,7.87741935483871,135,101,8.01980198019802,0.14238262535930968
2015,CH Morris,311,252,7.404761904761905,246,204,7.235294117647059,-0.16946778711484622
2015,D Wiese,353,254,8.338582677165354,242,182,7.978021978021978,-0.36056069914337563
2015,DJ Bravo,426,314,8.140127388535031,426,314,8.140127388535031,0.0
2015,DJ Hooda,129,91,8.505494505494505,129,91,8.505494505494505,0.0
2015,DJ Muthuswami,101,84,7.214285714285714,77,66,7.0,-0.2142857142857144
2015,DS Kulkarni,277,210,7.914285714285715,213,162,7.888888888888889,-0.025396825396825307
2015,DW Steyn,170,114,8.947368421052632,71,48,8.875,-0.07236842105263186
2015,GB Hogg,144,126,6.857142857142857,144,126,6.857142857142857,0.0
2015,GS Sandhu,82,48,10.25,49,24,12.25,2.0
2015,HH Pandya,176,102,10.352941176470589,115,66,10.454545454545455,0.10160427807486627
2015,HV Patel,328,263,7.482889733840304,241,191,7.570680628272251,0.08779089443194721
2015,Harbhajan Singh,446,342,7.824561403508772,213,174,7.344827586206897,-0.4797338173018755
2015,I Sharma,159,84,11.357142857142858,49,24,12.25,0.8928571428571423
2015,IC Pandey,223,186,7.193548387096774,223,186,7.193548387096774,0.0
2015,Imran Tahir,314,213,8.845070422535212,225,165,8.181818181818182,-0.6632522407170303
2015,Iqbal Abdulla,150,114,7.894736842105263,86,66,7.818181818181818,-0.07655502392344449
2015,J Botha,81,60,8.1,81,60,8.1,0.0
2015,J Suchith,337,234,8.64102564102564,153,114,8.052631578947368,-0.5883940620782724
2015,JA Morkel,109,72,9.083333333333334,28,18,9.333333333333334,0.25
2015,JJ Bumrah,184,90,12.266666666666667,90,42,12.857142857142858,0.5904761904761902
2015,JP Duminy,126,102,7.411764705882353,78,72,6.5,-0.9117647058823533
2015,JP Faulkner,426,270,9.466666666666667,339,222,9.162162162162161,-0.3045045045045054
2015,KA Pollard,120,76,9.473684210526317,47,36,7.833333333333333,-1.6403508771929838
2015,KV Sharma,332,239,8.334728033472803,116,65,10.707692307692307,2.3729642742195036
2015,Karanveer Singh,157,84,11.214285714285714,86,48,10.75,-0.4642857142857135
2015,M Morkel,206,168,7.357142857142857,206,168,7.357142857142857,0.0
2015,MA Starc,291,258,6.767441860465116,204,186,6.580645161290323,-0.1867966991747929
2015,MC Henriques,158,150,6.32,36,48,4.5,-1.8200000000000003
2015,MG Johnson,336,215,9.37674418604651,213,143,8.937062937062937,-0.4396812489835735
2015,MJ McClenaghan,386,282,8.212765957446809,198,138,8.608695652173912,0.39592969472710315
2015,MM Sharma,481,342,8.43859649122807,481,342,8.43859649122807,0.0
2015,NLTC Perera,55,36,9.166666666666666,33,24,8.25,-0.9166666666666661
2015,NM Coulter-Nile,321,255,7.552941176470588,282,213,7.943661971830986,0.39072079536039794
2015,P Kumar,329,216,9.13888888888889,91,66,8.272727272727273,-0.8661616161616159
2015,P Negi,252,180,8.4,252,180,8.4,0.0
2015,P Suyal,95,60,9.5,22,18,7.333333333333333,-2.166666666666667
2015,PJ Cummins,97,60,9.7,97,60,9.7,0.0
2015,PP Chawla,269,210,7.685714285714286,269,210,7.685714285714286,0.0
2015,PV Tambe,266,204,7.823529411764706,266,204,7.823529411764706,0.0
2015,R Ashwin,228,234,5.846153846153846,228,234,5.846153846153846,0.0
2015,R Bhatia,46,30,9.2,46,30,9.2,0.0
2015,R Dhawan,110,72,9.166666666666666,73,42,10.428571428571429,1.2619047619047628
2015,R Vinay Kumar,368,261,8.459770114942529,217,141,9.23404255319149,0.7742724382489605
2015,RA Jadeja,330,256,7.734375,330,256,7.734375,0.0
2015,RG More,59,35,10.114285714285716,59,35,10.114285714285716,0.0
2015,RS Bopara,160,120,8.0,56,48,7.0,-1.0
2015,S Aravind,132,108,7.333333333333333,103,84,7.357142857142857,0.023809523809523725
2015,S Nadeem,43,42,6.142857142857143,25,18,8.333333333333334,2.1904761904761907
2015,SA Abbott,57,30,11.4,57,30,11.4,0.0
2015,SK Raina,93,72,7.75,93,72,7.75,0.0
