player,archetype,old_team,season_before,score_before,new_team,season_after,score_after,delta,league_std,team_archetype_mean,classification,moved_toward_new_team_mean
GC Smith,Powerplay Aggressor,Rajasthan Royals,2010,0.5887645111420623,Pune Warriors,2011,-0.15657620138827755,-0.7453407125303398,0.9995911517532282,-0.15532767758773244,Stable,True
GD Phillips,Death Specialist,Rajasthan Royals,2021,0.6740593016433765,Sunrisers Hyderabad,2023,0.802844961549905,0.12878565990652857,0.9939108606197922,0.6510006387016406,Stable,False
GH Vihari,Powerplay Aggressor,Sunrisers Hyderabad,2015,0.4342082734906632,Delhi Capitals,2019,-1.428718044884527,-1.86292631837519,1.2077052479228771,0.12654806211564754,Adaptable,False
GJ Maxwell,Death Specialist,Delhi Capitals,2012,2.795633699196913,Mumbai Indians,2013,0.662050583943332,-2.1335831152535807,1.2795370062652185,0.6916812522911479,Adaptable,True
HV Patel,Middle-Over Squeezer,Royal Challengers Bengaluru,2023,-0.05739650758888327,Punjab Kings,2024,0.09013011242107866,0.14752662000996192,1.4936126135837626,1.4463431805214588,Stable,True
Harbhajan Singh,Death Specialist,Mumbai Indians,2017,2.1759052179297695,Chennai Super Kings,2018,2.7742769656421578,0.5983717477123882,1.2677842702626976,0.8609042155494661,Stable,False
Harpreet Singh,Death Specialist,Pune Warriors,2012,-0.7521870306111231,Punjab Kings,2023,2.288523381606805,3.040710412217928,0.9939108606197922,1.2536168002812496,Adaptable,True
I Sharma,Middle-Over Squeezer,Kolkata Knight Riders,2010,-0.3194237417517436,Deccan Chargers,2011,-0.23513018264119134,0.08429355911055225,1.4532054773986787,0.4189051809161545,Stable,True
I Sharma,Middle-Over Squeezer,Deccan Chargers,2011,-0.23513018264119134,Sunrisers Hyderabad,2013,-0.4762060346402398,-0.24107585199904846,1.4610915065970356,0.5693417305320002,Stable,False
I Sharma,Death Specialist,Punjab Kings,2017,-2.4764322350338426,Delhi Capitals,2019,0.1310289436295057,2.6074611786633484,1.0948862151118541,1.246902103087178,Adaptable,True
I Sharma,Death Specialist,Delhi Capitals,2024,-0.1838390476157207,Gujarat Titans,2025,-0.02280662754239236,0.16103242007332835,1.1237425393337022,0.6403113011515239,Stable,True
IK Pathan,Middle-Over Squeezer,Rising Pune Supergiant,2016,0.6807856886933098,Gujarat Lions,2017,3.6014404966445013,2.9206548079511916,1.2910329372059233,1.0462181305279799,Adaptable,False
Iqbal Abdulla,Death Specialist,Rajasthan Royals,2014,2.7190042028341375,Royal Challengers Bengaluru,2015,0.5079917758155618,-2.211012427018576,1.1051135794778315,1.2456638887672211,Adaptable,True
J Botha,Death Specialist,Rajasthan Royals,2012,0.6910334241103732,Delhi Capitals,2013,1.2513650726564245,0.5603316485460513,1.2795370062652185,0.43902085719877126,Stable,False
J Botha,Death Specialist,Delhi Capitals,2013,1.2513650726564245,Kolkata Knight Riders,2015,-0.6413156959424499,-1.8926807685988742,1.1051135794778315,0.053232316039521,Adaptable,True
J Suchith,Death Specialist,Mumbai Indians,2016,2.505375260478671,Delhi Capitals,2019,2.4891732487593305,-0.016202011719340437,1.0948862151118541,1.246902103087178,Stable,True
J Suchith,Death Specialist,Delhi Capitals,2019,2.4891732487593305,Sunrisers Hyderabad,2021,1.97100194439268,-0.5181713043666505,0.9751747362563874,0.6568844050286113,Stable,True
J Theron,Middle-Over Squeezer,Deccan Chargers,2012,2.2532366132658486,Rajasthan Royals,2015,1.859597074431911,-0.39363953883393754,0.8373206168403796,0.9254970123605484,Stable,True
J Yadav,Death Specialist,Delhi Capitals,2017,2.1759052179297695,Mumbai Indians,2019,2.4891732487593305,0.313268030829561,1.0948862151118541,1.388323831438635,Stable,False
J Yadav,Death Specialist,Mumbai Indians,2021,1.97100194439268,Gujarat Titans,2023,1.6150908819341356,-0.3559110624585444,0.9939108606197922,0.8938101715584289,Stable,True
JA Morkel,Middle-Over Squeezer,Delhi Capitals,2015,0.2638381455673266,Rising Pune Supergiant,2016,3.637713012619895,3.3738748670525687,1.3110164993660076,1.5471693411200809,Adaptable,False
JC Archer,Middle-Over Squeezer,Rajasthan Royals,2020,1.6360533051610215,Mumbai Indians,2023,0.3362659207068518,-1.2997873844541696,1.3989386959834587,-0.5801715740051241,Stable,True
JC Archer,Middle-Over Squeezer,Mumbai Indians,2023,0.3362659207068518,Rajasthan Royals,2025,-0.0029266127231066777,-0.3391925334299585,1.200295880613949,-0.13279390336850797,Stable,True
JC Buttler,Powerplay Aggressor,Mumbai Indians,2017,1.1019277778551502,Rajasthan Royals,2018,1.6695636385117585,0.5676358606566083,0.44629537274048015,0.5395001312072553,Adaptable,False
JD Unadkat,Death Specialist,Kolkata Knight Riders,2012,-0.5922594265521512,Royal Challengers Bengaluru,2013,0.13228611041056476,0.7245455369627161,1.2795370062652185,1.0844919241075388,Stable,True
JD Unadkat,Middle-Over Squeezer,Kolkata Knight Riders,2016,3.637713012619895,Rising Pune Supergiant,2017,0.6013152880113807,-3.0363977246085145,1.2910329372059233,1.2124480442272931,Adaptable,True
JD Unadkat,Middle-Over Squeezer,Rising Pune Supergiant,2017,0.6013152880113807,Rajasthan Royals,2018,0.05856101733970954,-0.5427542706716711,1.4113279201609845,1.1914239062308545,Stable,False
JJ Roy,Death Specialist,Gujarat Lions,2017,0.7857199377472683,Delhi Capitals,2018,0.3453381614396035,-0.44038177630766484,1.2677842702626976,0.43142655501505683,Stable,True
JJ Roy,Powerplay Aggressor,Sunrisers Hyderabad,2021,0.4800015014124527,Kolkata Knight Riders,2023,0.606703604754161,0.12670210334170828,0.8676617843262627,-0.0229701447868765,Stable,False
JM Bairstow,Powerplay Aggressor,Sunrisers Hyderabad,2021,1.2106938700805332,Punjab Kings,2022,1.1641141363238918,-0.04657973375664137,0.8853818056430386,0.820187625406575,Stable,True
JM Bairstow,Powerplay Aggressor,Punjab Kings,2024,0.5288951837999548,Mumbai Indians,2025,1.383472526743061,0.8545773429431062,1.045410959606985,0.5082696419554914,Stable,False
JM Sharma,Death Specialist,Punjab Kings,2024,0.2740466498857495,Royal Challengers Bengaluru,2025,0.4258032576345843,0.15175660774883482,1.1237425393337022,0.2507595329385014,Stable,False
JO Holder,Death Specialist,Chennai Super Kings,2013,2.5509406417161324,Sunrisers Hyderabad,2014,2.7190042028341375,0.16806356111800502,1.1350879016139053,1.08263808768847,Stable,False
JO Holder,Middle-Over Squeezer,Kolkata Knight Riders,2016,0.3497011620760477,Sunrisers Hyderabad,2020,0.6055550417867355,0.2558538797106878,1.7015359340307288,2.337644416052312,Stable,True
JO Holder,Death Specialist,Lucknow Super Giants,2022,-0.019592296140660367,Rajasthan Royals,2023,-0.13145136310842803,-0.11185906696776766,0.9939108606197922,0.49251974176638924,Stable,False
JP Duminy,Anchor,Mumbai Indians,2010,1.1364894596833326,Deccan Chargers,2011,0.3119187660155158,-0.8245706936678168,0.7737106731511492,0.8165876769657586,Adaptable,False
JP Duminy,Anchor,Deccan Chargers,2012,1.657293522159786,Delhi Capitals,2014,2.1100901516025257,0.4527966294427397,0.7233391811102918,0.9778624589877687,Stable,False
JP Duminy,Anchor,Delhi Capitals,2016,1.7751782455132055,Mumbai Indians,2018,0.3206163413899522,-1.4545619041232531,1.0604737894922027,0.4000317612213619,Adaptable,True
JR Hazlewood,Middle-Over Squeezer,Chennai Super Kings,2021,0.11120919327077503,Royal Challengers Bengaluru,2022,1.4553746750741865,1.3441654818034114,1.0812241852825197,0.6404590243321948,Adaptable,False
K Gowtham,Middle-Over Squeezer,Punjab Kings,2020,0.053502400693368084,Lucknow Super Giants,2022,0.7442028198633924,0.6907004191700243,1.0812241852825197,0.859346394913993,Stable,True
KA Jamieson,Middle-Over Squeezer,Royal Challengers Bengaluru,2021,0.3383685947194559,Punjab Kings,2025,-0.03800924574105888,-0.3763778404605148,1.200295880613949,0.2827804275331557,Stable,False
