season,player,team,tenure_years
2008,Abdur Razzak,Royal Challengers Bengaluru,1
2018,Abhishek Sharma,Delhi Capitals,1
2019,Abhishek Sharma,Sunrisers Hyderabad,1
2020,Abhishek Sharma,Sunrisers Hyderabad,2
2021,Abhishek Sharma,Sunrisers Hyderabad,3
2022,Abhishek Sharma,Sunrisers Hyderabad,4
2023,Abhishek Sharma,Sunrisers Hyderabad,5
2024,Abhishek Sharma,Sunrisers Hyderabad,6
2025,Abhishek Sharma,Sunrisers Hyderabad,7
2023,Abishek Porel,Delhi Capitals,1
2024,Abishek Porel,Delhi Capitals,2
2025,Abishek Porel,Delhi Capitals,3
2022,Akash Deep,Royal Challengers Bengaluru,1
2023,Akash Deep,Royal Challengers Bengaluru,2
2024,Akash Deep,Royal Challengers Bengaluru,3
2025,Akash Deep,Lucknow Super Giants,1
2023,Akash Madhwal,Mumbai Indians,1
2024,Akash Madhwal,Mumbai Indians,2
2025,Akash Madhwal,Rajasthan Royals,1
2021,Akash Singh,Rajasthan Royals,1
2023,Akash Singh,Chennai Super Kings,1
2025,Akash Singh,Lucknow Super Giants,1
2022,Aman Hakim Khan,Kolkata Knight Riders,1
2023,Aman Hakim Khan,Delhi Capitals,1
2011,Anand Rajan,Deccan Chargers,1
2012,Anand Rajan,Deccan Chargers,2
2013,Anand Rajan,Sunrisers Hyderabad,1
2025,Aniket Verma,Sunrisers Hyderabad,1
2010,Anirudh Singh,Deccan Chargers,1
2012,Ankit Sharma,Deccan Chargers,1
2013,Ankit Sharma,Sunrisers Hyderabad,1
2014,Ankit Sharma,Rajasthan Royals,1
2015,Ankit Sharma,Rajasthan Royals,2
2016,Ankit Sharma,Rising Pune Supergiant,1
2017,Ankit Sharma,Rising Pune Supergiant,2
2018,Ankit Sharma,Rajasthan Royals,1
2017,Ankit Soni,Gujarat Lions,1
2021,Anmolpreet Singh,Mumbai Indians,1
2022,Anmolpreet Singh,Mumbai Indians,2
2023,Anmolpreet Singh,Sunrisers Hyderabad,1
2024,Anmolpreet Singh,Sunrisers Hyderabad,2
2021,Anuj Rawat,Rajasthan Royals,1
2022,Anuj Rawat,Royal Challengers Bengaluru,1
2023,Anuj Rawat,Royal Challengers Bengaluru,2
2024,Anuj Rawat,Royal Challengers Bengaluru,3
2009,Anureet Singh,Kolkata Knight Riders,1
2015,Anureet Singh,Punjab Kings,1
2016,Anureet Singh,Punjab Kings,2
2017,Anureet Singh,Punjab Kings,3
2018,Anureet Singh,Rajasthan Royals,1
2023,Arjun Tendulkar,Mumbai Indians,1
2024,Arjun Tendulkar,Mumbai Indians,2
2023,Arshad Khan,Mumbai Indians,1
2024,Arshad Khan,Lucknow Super Giants,1
2025,Arshad Khan,Gujarat Titans,1
2024,Arshad Khan (2),Lucknow Super Giants,1
2019,Arshdeep Singh,Punjab Kings,1
2020,Arshdeep Singh,Punjab Kings,2
2021,Arshdeep Singh,Punjab Kings,3
2022,Arshdeep Singh,Punjab Kings,4
2023,Arshdeep Singh,Punjab Kings,5
2024,Arshdeep Singh,Punjab Kings,6
2025,Arshdeep Singh,Punjab Kings,7
2024,Ashutosh Sharma,Punjab Kings,1
2025,Ashutosh Sharma,Delhi Capitals,1
2025,Ashwani Kumar,Mumbai Indians,1
2023,Atharva Taide,Punjab Kings,1
2024,Atharva Taide,Punjab Kings,2
2025,Atharva Taide,Sunrisers Hyderabad,1
2017,Avesh Khan,Royal Challengers Bengaluru,1
2018,Avesh Khan,Delhi Capitals,1
2019,Avesh Khan,Delhi Capitals,2
2020,Avesh Khan,Delhi Capitals,3
2021,Avesh Khan,Delhi Capitals,4
