season,team,Anchor,Death Specialist,Middle-Over Squeezer,Powerplay Aggressor
2019,Rajasthan Royals,11.564625850340136,45.57823129251701,17.687074829931973,25.170068027210885
2019,Royal Challengers Bengaluru,10.135135135135135,41.891891891891895,30.405405405405407,17.56756756756757
2019,Sunrisers Hyderabad,15.286624203821656,54.77707006369427,24.840764331210192,5.095541401273885
2020,Chennai Super Kings,16.551724137931036,37.241379310344826,28.275862068965516,17.93103448275862
2020,Delhi Capitals,16.756756756756758,51.891891891891895,1.6216216216216217,29.72972972972973
2020,Kolkata Knight Riders,9.74025974025974,53.246753246753244,18.83116883116883,18.181818181818183
2020,Mumbai Indians,19.526627218934912,57.98816568047337,13.017751479289942,9.467455621301776
2020,Punjab Kings,26.845637583892618,28.187919463087248,38.92617449664429,6.040268456375839
2020,Rajasthan Royals,2.027027027027027,37.83783783783784,32.432432432432435,27.7027027027027
2020,Royal Challengers Bengaluru,12.5,41.25,26.25,20.0
2020,Sunrisers Hyderabad,13.25301204819277,21.686746987951807,32.53012048192771,32.53012048192771
2021,Chennai Super Kings,15.568862275449101,59.880239520958085,22.15568862275449,2.395209580838323
2021,Delhi Capitals,28.32369942196532,26.589595375722542,35.83815028901734,9.248554913294798
2021,Kolkata Knight Riders,17.582417582417584,23.626373626373628,29.67032967032967,29.12087912087912
2021,Mumbai Indians,3.289473684210526,49.3421052631579,24.342105263157894,23.026315789473685
2021,Punjab Kings,4.605263157894737,78.94736842105263,13.157894736842104,3.289473684210526
2021,Rajasthan Royals,17.880794701986755,54.966887417218544,10.596026490066226,16.556291390728475
2021,Royal Challengers Bengaluru,16.352201257861637,27.67295597484277,37.106918238993714,18.867924528301888
2021,Sunrisers Hyderabad,25.333333333333332,28.666666666666668,26.666666666666668,19.333333333333332
2022,Chennai Super Kings,29.333333333333332,34.666666666666664,20.0,16.0
2022,Delhi Capitals,21.08843537414966,31.292517006802722,23.80952380952381,23.80952380952381
2022,Gujarat Titans,30.232558139534884,43.604651162790695,11.627906976744185,14.534883720930232
2022,Kolkata Knight Riders,32.02614379084967,19.607843137254903,30.065359477124183,18.30065359477124
2022,Lucknow Super Giants,18.125,35.625,41.25,5.0
