season,team,player,archetype,archetype_score,league_median_score,score_gap,weight_share,projected_quality_shift,slope,p_value,replacement_delta_win_pct,discipline,key_stat,key_stat_actual,key_stat_median,key_stat_deficit
2019,Rajasthan Royals,AJ Turner,Powerplay Aggressor,-1.428718044884527,0.4336482181314831,1.86236626301601,0.1081081081081081,0.2013368932990281,4.890782596069032,0.043026184574214,0.9846949736934943,Batter,Powerplay SR,0.0,136.0,136.0
2023,Delhi Capitals,YV Dhull,Powerplay Aggressor,-1.3755576202805302,0.3480816141619322,1.7236392344424625,0.1153846153846153,0.1988814501279764,4.890782596069032,0.043026184574214,0.9726859349668784,Batter,Powerplay SR,22.2,137.6,115.3
2025,Chennai Super Kings,RA Tripathi,Powerplay Aggressor,-0.0671442041804495,0.7278205235522982,0.7949647277327477,0.25,0.1987411819331869,4.890782596069032,0.043026184574214,0.9719999137210198,Batter,Powerplay SR,109.1,175.4,66.3
2017,Royal Challengers Bengaluru,CH Gayle,Powerplay Aggressor,-0.1125506709526957,0.658182886814687,0.7707335577673827,0.25,0.1926833894418456,4.890782596069032,0.043026184574214,0.9423725676337704,Batter,Powerplay SR,100.9,140.7,39.8
2017,Rising Pune Supergiant,AM Rahane,Powerplay Aggressor,0.253201823223991,0.658182886814687,0.4049810635906959,0.4705882352941176,0.1905793240426804,4.890782596069032,0.043026184574214,0.932082041198542,Batter,Powerplay SR,119.3,140.7,21.4
2009,Rajasthan Royals,GC Smith,Powerplay Aggressor,-0.1369092826054662,0.3028071151427042,0.4397163977481704,0.4137931034482758,0.1819516128613119,4.890782596069032,0.043026184574214,0.8898857815087945,Batter,Powerplay SR,86.0,119.4,33.4
2022,Gujarat Titans,V Shankar,Powerplay Aggressor,-0.7157374709661415,0.4153519864636829,1.1310894574298245,0.16,0.1809743131887719,4.890782596069032,0.043026184574214,0.885106021279192,Batter,Powerplay SR,55.9,136.3,80.4
2025,Chennai Super Kings,SK Rasheed,Powerplay Aggressor,0.0173610629275945,0.7278205235522982,0.7104594606247037,0.25,0.1776148651561759,4.890782596069032,0.043026184574214,0.8686756913089732,Batter,Powerplay SR,115.0,175.4,60.4
2008,Mumbai Indians,AM Rahane,Powerplay Aggressor,-1.6594878657418664,0.1014364343337163,1.7609243000755828,0.1,0.1760924300075582,4.890782596069032,0.043026184574214,0.8612297919804702,Batter,Powerplay SR,23.5,137.2,113.7
2024,Lucknow Super Giants,D Padikkal,Powerplay Aggressor,-0.5003476746671665,0.3462726153129251,0.8466202899800915,0.2058823529411764,0.1743041773488423,4.890782596069032,0.043026184574214,0.8524838369998483,Batter,Powerplay SR,73.3,155.2,81.9
2008,Kolkata Knight Riders,BJ Hodge,Powerplay Aggressor,-0.6941846091693841,0.1014364343337163,0.7956210435031004,0.2142857142857142,0.1704902236078072,4.890782596069032,0.043026184574214,0.8338306184209812,Batter,Powerplay SR,70.6,137.2,66.6
2017,Delhi Capitals,AP Tare,Powerplay Aggressor,-0.5631385357699268,0.658182886814687,1.2213214225846136,0.1363636363636363,0.1665438303524473,4.890782596069032,0.043026184574214,0.8145296669704226,Batter,Powerplay SR,78.3,140.7,62.4
2009,Deccan Chargers,VVS Laxman,Powerplay Aggressor,-0.6624374470683865,0.3028071151427042,0.9652445622110908,0.1724137931034483,0.1664214762432915,4.890782596069032,0.043026184574214,0.813931259622806,Batter,Powerplay SR,58.3,119.4,61.1
