match_id,season,innings,over,ball,batting_team,bowling_team,batter,bowler,phase,wp_before,wp_after,leverage_index,dls_flag
392225,2009,2,19,5,Mumbai Indians,Rajasthan Royals,SL Malinga,MM Patel,Death,0.1947542754101414,0.0,0.1947542754101414,False
392226,2009,2,2,1,Punjab Kings,Delhi Capitals,S Sohal,A Nehra,Powerplay,0.7667992772912333,0.7521921376696058,0.0146071396216275,False
392228,2009,1,4,6,Kolkata Knight Riders,Deccan Chargers,BJ Hodge,RJ Harris,Powerplay,0.5222096908097833,0.5290175516748139,0.0068078608650306,False
392228,2009,1,14,2,Kolkata Knight Riders,Deccan Chargers,SC Ganguly,RG Sharma,Middle,0.8362186538497274,0.8428910787676734,0.006672424917946,False
392228,2009,2,6,1,Deccan Chargers,Kolkata Knight Riders,HH Gibbs,M Kartik,Middle,0.7841515654021078,0.7759303168528103,0.0082212485492975,False
392229,2009,2,7,7,Deccan Chargers,Punjab Kings,A Symonds,RR Powar,Middle,0.6390679386027986,0.6318602423498845,0.0072076962529141,False
392229,2009,2,19,4,Deccan Chargers,Punjab Kings,RG Sharma,IK Pathan,Death,0.6824528831979124,0.4228746584044163,0.259578224793496,False
392230,2009,1,2,1,Delhi Capitals,Rajasthan Royals,G Gambhir,MM Patel,Powerplay,0.5591942501706081,0.4199041639806103,0.1392900861899977,False
392230,2009,1,5,3,Delhi Capitals,Rajasthan Royals,AB de Villiers,SK Trivedi,Powerplay,0.4176819389325547,0.413933238724001,0.0037487002085536,False
392231,2009,1,4,3,Chennai Super Kings,Kolkata Knight Riders,GJ Bailey,M Kartik,Powerplay,0.7816864490511437,0.782935515649384,0.0012490665982403,False
392231,2009,2,14,2,Kolkata Knight Riders,Chennai Super Kings,DJ Hussey,L Balaji,Middle,0.7363883306144149,0.7320946089451604,0.0042937216692544,False
392232,2009,2,11,1,Royal Challengers Bengaluru,Delhi Capitals,JH Kallis,AB McDonald,Middle,0.7331384140786731,0.7368912044087286,0.0037527903300554,False
392232,2009,2,18,4,Royal Challengers Bengaluru,Delhi Capitals,JH Kallis,A Nehra,Death,0.969000495244588,0.9735589852460068,0.0045584900014189,False
392233,2009,1,9,3,Rajasthan Royals,Kolkata Knight Riders,YK Pathan,CK Langeveldt,Middle,0.2591994926889934,0.2590133037113584,0.0001861889776349,False
392233,2009,2,2,2,Kolkata Knight Riders,Rajasthan Royals,Yashpal Singh,MM Patel,Powerplay,0.3574645663465911,0.3484652716399044,0.0089992947066867,False
392234,2009,2,8,3,Punjab Kings,Chennai Super Kings,LA Pomersbach,M Muralitharan,Middle,0.4791855213944986,0.4871807856563063,0.0079952642618076,False
392235,2009,1,2,5,Mumbai Indians,Delhi Capitals,Mohammad Ashraful,DP Nannes,Powerplay,0.415884270952458,0.4022674060599326,0.0136168648925254,False
